retain,move,depth,query
6275,10918,3,UPDATE ovc_care_health SET facility_id=6275 WHERE facility_id=10918;
6275,20342,3,UPDATE ovc_care_health SET facility_id=6275 WHERE facility_id=20342;
13052,22731,2,UPDATE ovc_care_health SET facility_id=13052 WHERE facility_id=22731;
7482,17685,2,UPDATE ovc_care_health SET facility_id=7482 WHERE facility_id=17685;
1548,19441,2,UPDATE ovc_care_health SET facility_id=1548 WHERE facility_id=19441;
7933,10902,3,UPDATE ovc_care_health SET facility_id=7933 WHERE facility_id=10902;
7933,20311,3,UPDATE ovc_care_health SET facility_id=7933 WHERE facility_id=20311;
11429,20952,2,UPDATE ovc_care_health SET facility_id=11429 WHERE facility_id=20952;
1201,11290,2,UPDATE ovc_care_health SET facility_id=1201 WHERE facility_id=11290;
4040,13851,2,UPDATE ovc_care_health SET facility_id=4040 WHERE facility_id=13851;
282,13335,3,UPDATE ovc_care_health SET facility_id=282 WHERE facility_id=13335;
282,22934,3,UPDATE ovc_care_health SET facility_id=282 WHERE facility_id=22934;
6853,17263,2,UPDATE ovc_care_health SET facility_id=6853 WHERE facility_id=17263;
5761,15695,2,UPDATE ovc_care_health SET facility_id=5761 WHERE facility_id=15695;
2445,15007,2,UPDATE ovc_care_health SET facility_id=2445 WHERE facility_id=15007;
793,24202,2,UPDATE ovc_care_health SET facility_id=793 WHERE facility_id=24202;
1551,10500,3,UPDATE ovc_care_health SET facility_id=1551 WHERE facility_id=10500;
1551,19393,3,UPDATE ovc_care_health SET facility_id=1551 WHERE facility_id=19393;
6157,9868,3,UPDATE ovc_care_health SET facility_id=6157 WHERE facility_id=9868;
6157,18673,3,UPDATE ovc_care_health SET facility_id=6157 WHERE facility_id=18673;
3402,11067,3,UPDATE ovc_care_health SET facility_id=3402 WHERE facility_id=11067;
3402,20538,3,UPDATE ovc_care_health SET facility_id=3402 WHERE facility_id=20538;
4657,9185,3,UPDATE ovc_care_health SET facility_id=4657 WHERE facility_id=9185;
4657,16928,3,UPDATE ovc_care_health SET facility_id=4657 WHERE facility_id=16928;
938,20002,2,UPDATE ovc_care_health SET facility_id=938 WHERE facility_id=20002;
6487,15400,2,UPDATE ovc_care_health SET facility_id=6487 WHERE facility_id=15400;
3985,17521,2,UPDATE ovc_care_health SET facility_id=3985 WHERE facility_id=17521;
3713,3799,3,UPDATE ovc_care_health SET facility_id=3713 WHERE facility_id=3799;
3713,11514,3,UPDATE ovc_care_health SET facility_id=3713 WHERE facility_id=11514;
4839,24024,2,UPDATE ovc_care_health SET facility_id=4839 WHERE facility_id=24024;
535,15767,2,UPDATE ovc_care_health SET facility_id=535 WHERE facility_id=15767;
6648,24036,2,UPDATE ovc_care_health SET facility_id=6648 WHERE facility_id=24036;
12279,21609,2,UPDATE ovc_care_health SET facility_id=12279 WHERE facility_id=21609;
666,13198,3,UPDATE ovc_care_health SET facility_id=666 WHERE facility_id=13198;
666,22609,3,UPDATE ovc_care_health SET facility_id=666 WHERE facility_id=22609;
202,15964,2,UPDATE ovc_care_health SET facility_id=202 WHERE facility_id=15964;
3434,10796,3,UPDATE ovc_care_health SET facility_id=3434 WHERE facility_id=10796;
3434,20142,3,UPDATE ovc_care_health SET facility_id=3434 WHERE facility_id=20142;
5939,16833,2,UPDATE ovc_care_health SET facility_id=5939 WHERE facility_id=16833;
3609,19270,2,UPDATE ovc_care_health SET facility_id=3609 WHERE facility_id=19270;
2276,21263,2,UPDATE ovc_care_health SET facility_id=2276 WHERE facility_id=21263;
6328,10851,3,UPDATE ovc_care_health SET facility_id=6328 WHERE facility_id=10851;
6328,20231,3,UPDATE ovc_care_health SET facility_id=6328 WHERE facility_id=20231;
5360,9943,3,UPDATE ovc_care_health SET facility_id=5360 WHERE facility_id=9943;
5360,18800,3,UPDATE ovc_care_health SET facility_id=5360 WHERE facility_id=18800;
6516,9072,3,UPDATE ovc_care_health SET facility_id=6516 WHERE facility_id=9072;
6516,16282,3,UPDATE ovc_care_health SET facility_id=6516 WHERE facility_id=16282;
5371,13847,3,UPDATE ovc_care_health SET facility_id=5371 WHERE facility_id=13847;
5371,18852,3,UPDATE ovc_care_health SET facility_id=5371 WHERE facility_id=18852;
3255,17418,2,UPDATE ovc_care_health SET facility_id=3255 WHERE facility_id=17418;
4485,23491,2,UPDATE ovc_care_health SET facility_id=4485 WHERE facility_id=23491;
979,20249,2,UPDATE ovc_care_health SET facility_id=979 WHERE facility_id=20249;
5048,15447,2,UPDATE ovc_care_health SET facility_id=5048 WHERE facility_id=15447;
13286,22898,2,UPDATE ovc_care_health SET facility_id=13286 WHERE facility_id=22898;
7513,23833,2,UPDATE ovc_care_health SET facility_id=7513 WHERE facility_id=23833;
7839,9641,3,UPDATE ovc_care_health SET facility_id=7839 WHERE facility_id=9641;
7839,18449,3,UPDATE ovc_care_health SET facility_id=7839 WHERE facility_id=18449;
3561,13747,3,UPDATE ovc_care_health SET facility_id=3561 WHERE facility_id=13747;
3561,18956,3,UPDATE ovc_care_health SET facility_id=3561 WHERE facility_id=18956;
6683,19831,2,UPDATE ovc_care_health SET facility_id=6683 WHERE facility_id=19831;
2121,16517,2,UPDATE ovc_care_health SET facility_id=2121 WHERE facility_id=16517;
5391,13622,3,UPDATE ovc_care_health SET facility_id=5391 WHERE facility_id=13622;
5391,19081,3,UPDATE ovc_care_health SET facility_id=5391 WHERE facility_id=19081;
8580,17928,2,UPDATE ovc_care_health SET facility_id=8580 WHERE facility_id=17928;
8263,15469,2,UPDATE ovc_care_health SET facility_id=8263 WHERE facility_id=15469;
6760,11570,3,UPDATE ovc_care_health SET facility_id=6760 WHERE facility_id=11570;
6760,21070,3,UPDATE ovc_care_health SET facility_id=6760 WHERE facility_id=21070;
6075,9370,3,UPDATE ovc_care_health SET facility_id=6075 WHERE facility_id=9370;
6075,17548,3,UPDATE ovc_care_health SET facility_id=6075 WHERE facility_id=17548;
5262,15891,2,UPDATE ovc_care_health SET facility_id=5262 WHERE facility_id=15891;
11958,21949,2,UPDATE ovc_care_health SET facility_id=11958 WHERE facility_id=21949;
4218,15803,2,UPDATE ovc_care_health SET facility_id=4218 WHERE facility_id=15803;
2994,18893,2,UPDATE ovc_care_health SET facility_id=2994 WHERE facility_id=18893;
8665,12847,3,UPDATE ovc_care_health SET facility_id=8665 WHERE facility_id=12847;
8665,22158,3,UPDATE ovc_care_health SET facility_id=8665 WHERE facility_id=22158;
12890,22208,2,UPDATE ovc_care_health SET facility_id=12890 WHERE facility_id=22208;
1863,16999,2,UPDATE ovc_care_health SET facility_id=1863 WHERE facility_id=16999;
5802,16257,2,UPDATE ovc_care_health SET facility_id=5802 WHERE facility_id=16257;
2169,9348,3,UPDATE ovc_care_health SET facility_id=2169 WHERE facility_id=9348;
2169,17529,3,UPDATE ovc_care_health SET facility_id=2169 WHERE facility_id=17529;
4780,9523,2,UPDATE ovc_care_health SET facility_id=4780 WHERE facility_id=9523;
4081,10686,3,UPDATE ovc_care_health SET facility_id=4081 WHERE facility_id=10686;
4081,19816,3,UPDATE ovc_care_health SET facility_id=4081 WHERE facility_id=19816;
8076,11838,3,UPDATE ovc_care_health SET facility_id=8076 WHERE facility_id=11838;
8076,21324,3,UPDATE ovc_care_health SET facility_id=8076 WHERE facility_id=21324;
1220,20332,2,UPDATE ovc_care_health SET facility_id=1220 WHERE facility_id=20332;
7940,10782,3,UPDATE ovc_care_health SET facility_id=7940 WHERE facility_id=10782;
7940,20128,3,UPDATE ovc_care_health SET facility_id=7940 WHERE facility_id=20128;
6475,24176,2,UPDATE ovc_care_health SET facility_id=6475 WHERE facility_id=24176;
1303,20636,2,UPDATE ovc_care_health SET facility_id=1303 WHERE facility_id=20636;
6744,11567,3,UPDATE ovc_care_health SET facility_id=6744 WHERE facility_id=11567;
6744,21067,3,UPDATE ovc_care_health SET facility_id=6744 WHERE facility_id=21067;
4238,15942,2,UPDATE ovc_care_health SET facility_id=4238 WHERE facility_id=15942;
7434,15832,2,UPDATE ovc_care_health SET facility_id=7434 WHERE facility_id=15832;
5321,17935,2,UPDATE ovc_care_health SET facility_id=5321 WHERE facility_id=17935;
2196,17955,2,UPDATE ovc_care_health SET facility_id=2196 WHERE facility_id=17955;
1054,15607,2,UPDATE ovc_care_health SET facility_id=1054 WHERE facility_id=15607;
8028,13007,3,UPDATE ovc_care_health SET facility_id=8028 WHERE facility_id=13007;
8028,22379,3,UPDATE ovc_care_health SET facility_id=8028 WHERE facility_id=22379;
7370,19794,2,UPDATE ovc_care_health SET facility_id=7370 WHERE facility_id=19794;
3382,11815,3,UPDATE ovc_care_health SET facility_id=3382 WHERE facility_id=11815;
3382,21314,3,UPDATE ovc_care_health SET facility_id=3382 WHERE facility_id=21314;
5201,20370,2,UPDATE ovc_care_health SET facility_id=5201 WHERE facility_id=20370;
681,12477,3,UPDATE ovc_care_health SET facility_id=681 WHERE facility_id=12477;
681,21747,3,UPDATE ovc_care_health SET facility_id=681 WHERE facility_id=21747;
7239,20304,2,UPDATE ovc_care_health SET facility_id=7239 WHERE facility_id=20304;
10398,24116,2,UPDATE ovc_care_health SET facility_id=10398 WHERE facility_id=24116;
6049,17352,2,UPDATE ovc_care_health SET facility_id=6049 WHERE facility_id=17352;
6315,12107,3,UPDATE ovc_care_health SET facility_id=6315 WHERE facility_id=12107;
6315,22062,3,UPDATE ovc_care_health SET facility_id=6315 WHERE facility_id=22062;
1318,14813,2,UPDATE ovc_care_health SET facility_id=1318 WHERE facility_id=14813;
358,15901,2,UPDATE ovc_care_health SET facility_id=358 WHERE facility_id=15901;
7848,10583,3,UPDATE ovc_care_health SET facility_id=7848 WHERE facility_id=10583;
7848,19584,3,UPDATE ovc_care_health SET facility_id=7848 WHERE facility_id=19584;
7050,21683,2,UPDATE ovc_care_health SET facility_id=7050 WHERE facility_id=21683;
4942,19921,2,UPDATE ovc_care_health SET facility_id=4942 WHERE facility_id=19921;
1296,20868,2,UPDATE ovc_care_health SET facility_id=1296 WHERE facility_id=20868;
2021,11712,3,UPDATE ovc_care_health SET facility_id=2021 WHERE facility_id=11712;
2021,21212,3,UPDATE ovc_care_health SET facility_id=2021 WHERE facility_id=21212;
1930,12714,3,UPDATE ovc_care_health SET facility_id=1930 WHERE facility_id=12714;
1930,22001,3,UPDATE ovc_care_health SET facility_id=1930 WHERE facility_id=22001;
2468,16277,2,UPDATE ovc_care_health SET facility_id=2468 WHERE facility_id=16277;
2517,24142,2,UPDATE ovc_care_health SET facility_id=2517 WHERE facility_id=24142;
3600,19439,2,UPDATE ovc_care_health SET facility_id=3600 WHERE facility_id=19439;
2219,18311,2,UPDATE ovc_care_health SET facility_id=2219 WHERE facility_id=18311;
2515,24104,2,UPDATE ovc_care_health SET facility_id=2515 WHERE facility_id=24104;
3245,17029,2,UPDATE ovc_care_health SET facility_id=3245 WHERE facility_id=17029;
930,17109,2,UPDATE ovc_care_health SET facility_id=930 WHERE facility_id=17109;
3082,9537,3,UPDATE ovc_care_health SET facility_id=3082 WHERE facility_id=9537;
3082,18050,3,UPDATE ovc_care_health SET facility_id=3082 WHERE facility_id=18050;
6846,9192,3,UPDATE ovc_care_health SET facility_id=6846 WHERE facility_id=9192;
6846,16934,3,UPDATE ovc_care_health SET facility_id=6846 WHERE facility_id=16934;
8375,13521,3,UPDATE ovc_care_health SET facility_id=8375 WHERE facility_id=13521;
8375,23041,3,UPDATE ovc_care_health SET facility_id=8375 WHERE facility_id=23041;
1578,23545,2,UPDATE ovc_care_health SET facility_id=1578 WHERE facility_id=23545;
12119,22073,2,UPDATE ovc_care_health SET facility_id=12119 WHERE facility_id=22073;
439,11630,3,UPDATE ovc_care_health SET facility_id=439 WHERE facility_id=11630;
439,21124,3,UPDATE ovc_care_health SET facility_id=439 WHERE facility_id=21124;
5681,11769,3,UPDATE ovc_care_health SET facility_id=5681 WHERE facility_id=11769;
5681,21283,3,UPDATE ovc_care_health SET facility_id=5681 WHERE facility_id=21283;
5405,24052,2,UPDATE ovc_care_health SET facility_id=5405 WHERE facility_id=24052;
4551,23446,2,UPDATE ovc_care_health SET facility_id=4551 WHERE facility_id=23446;
1567,10341,3,UPDATE ovc_care_health SET facility_id=1567 WHERE facility_id=10341;
1567,23493,3,UPDATE ovc_care_health SET facility_id=1567 WHERE facility_id=23493;
5287,9280,3,UPDATE ovc_care_health SET facility_id=5287 WHERE facility_id=9280;
5287,17225,3,UPDATE ovc_care_health SET facility_id=5287 WHERE facility_id=17225;
2130,16558,2,UPDATE ovc_care_health SET facility_id=2130 WHERE facility_id=16558;
4048,10146,3,UPDATE ovc_care_health SET facility_id=4048 WHERE facility_id=10146;
4048,23387,3,UPDATE ovc_care_health SET facility_id=4048 WHERE facility_id=23387;
5788,16166,2,UPDATE ovc_care_health SET facility_id=5788 WHERE facility_id=16166;
6954,12581,3,UPDATE ovc_care_health SET facility_id=6954 WHERE facility_id=12581;
6954,21812,3,UPDATE ovc_care_health SET facility_id=6954 WHERE facility_id=21812;
1250,19522,2,UPDATE ovc_care_health SET facility_id=1250 WHERE facility_id=19522;
7915,11226,3,UPDATE ovc_care_health SET facility_id=7915 WHERE facility_id=11226;
7915,20709,3,UPDATE ovc_care_health SET facility_id=7915 WHERE facility_id=20709;
4259,16578,2,UPDATE ovc_care_health SET facility_id=4259 WHERE facility_id=16578;
5522,17805,2,UPDATE ovc_care_health SET facility_id=5522 WHERE facility_id=17805;
6722,20115,2,UPDATE ovc_care_health SET facility_id=6722 WHERE facility_id=20115;
5080,16416,2,UPDATE ovc_care_health SET facility_id=5080 WHERE facility_id=16416;
1315,19398,2,UPDATE ovc_care_health SET facility_id=1315 WHERE facility_id=19398;
5247,14999,2,UPDATE ovc_care_health SET facility_id=5247 WHERE facility_id=14999;
1874,18146,2,UPDATE ovc_care_health SET facility_id=1874 WHERE facility_id=18146;
6884,18586,2,UPDATE ovc_care_health SET facility_id=6884 WHERE facility_id=18586;
7401,10467,3,UPDATE ovc_care_health SET facility_id=7401 WHERE facility_id=10467;
7401,19245,3,UPDATE ovc_care_health SET facility_id=7401 WHERE facility_id=19245;
6780,11897,3,UPDATE ovc_care_health SET facility_id=6780 WHERE facility_id=11897;
6780,21354,3,UPDATE ovc_care_health SET facility_id=6780 WHERE facility_id=21354;
5611,19447,2,UPDATE ovc_care_health SET facility_id=5611 WHERE facility_id=19447;
