retain,move,depth,query
6076,17549,3,UPDATE ovc_care_health SET facility_id=6076 WHERE facility_id=17549;
6326,10856,3,UPDATE ovc_care_health SET facility_id=6326 WHERE facility_id=10856;
6326,20236,3,UPDATE ovc_care_health SET facility_id=6326 WHERE facility_id=20236;
2613,19876,2,UPDATE ovc_care_health SET facility_id=2613 WHERE facility_id=19876;
4129,19424,2,UPDATE ovc_care_health SET facility_id=4129 WHERE facility_id=19424;
5806,9093,3,UPDATE ovc_care_health SET facility_id=5806 WHERE facility_id=9093;
5806,16300,3,UPDATE ovc_care_health SET facility_id=5806 WHERE facility_id=16300;
5228,11253,3,UPDATE ovc_care_health SET facility_id=5228 WHERE facility_id=11253;
5228,20743,3,UPDATE ovc_care_health SET facility_id=5228 WHERE facility_id=20743;
1640,17143,2,UPDATE ovc_care_health SET facility_id=1640 WHERE facility_id=17143;
1021,14841,2,UPDATE ovc_care_health SET facility_id=1021 WHERE facility_id=14841;
5244,10462,3,UPDATE ovc_care_health SET facility_id=5244 WHERE facility_id=10462;
5244,19239,3,UPDATE ovc_care_health SET facility_id=5244 WHERE facility_id=19239;
8209,20732,2,UPDATE ovc_care_health SET facility_id=8209 WHERE facility_id=20732;
12560,22376,2,UPDATE ovc_care_health SET facility_id=12560 WHERE facility_id=22376;
912,17069,2,UPDATE ovc_care_health SET facility_id=912 WHERE facility_id=17069;
7857,19492,2,UPDATE ovc_care_health SET facility_id=7857 WHERE facility_id=19492;
8278,16681,2,UPDATE ovc_care_health SET facility_id=8278 WHERE facility_id=16681;
6918,11932,3,UPDATE ovc_care_health SET facility_id=6918 WHERE facility_id=11932;
6918,21383,3,UPDATE ovc_care_health SET facility_id=6918 WHERE facility_id=21383;
2085,15900,2,UPDATE ovc_care_health SET facility_id=2085 WHERE facility_id=15900;
3554,24138,2,UPDATE ovc_care_health SET facility_id=3554 WHERE facility_id=24138;
2773,23366,2,UPDATE ovc_care_health SET facility_id=2773 WHERE facility_id=23366;
6269,10935,3,UPDATE ovc_care_health SET facility_id=6269 WHERE facility_id=10935;
6269,20386,3,UPDATE ovc_care_health SET facility_id=6269 WHERE facility_id=20386;
833,20175,2,UPDATE ovc_care_health SET facility_id=833 WHERE facility_id=20175;
6204,13716,3,UPDATE ovc_care_health SET facility_id=6204 WHERE facility_id=13716;
6204,19193,3,UPDATE ovc_care_health SET facility_id=6204 WHERE facility_id=19193;
3669,3789,4,UPDATE ovc_care_health SET facility_id=3669 WHERE facility_id=3789;
3669,12126,4,UPDATE ovc_care_health SET facility_id=3669 WHERE facility_id=12126;
3669,21503,4,UPDATE ovc_care_health SET facility_id=3669 WHERE facility_id=21503;
1420,17481,2,UPDATE ovc_care_health SET facility_id=1420 WHERE facility_id=17481;
4605,12180,3,UPDATE ovc_care_health SET facility_id=4605 WHERE facility_id=12180;
4605,22118,3,UPDATE ovc_care_health SET facility_id=4605 WHERE facility_id=22118;
5655,10247,3,UPDATE ovc_care_health SET facility_id=5655 WHERE facility_id=10247;
5655,23129,3,UPDATE ovc_care_health SET facility_id=5655 WHERE facility_id=23129;
6771,11621,3,UPDATE ovc_care_health SET facility_id=6771 WHERE facility_id=11621;
6771,21115,3,UPDATE ovc_care_health SET facility_id=6771 WHERE facility_id=21115;
1127,9784,3,UPDATE ovc_care_health SET facility_id=1127 WHERE facility_id=9784;
1127,18619,3,UPDATE ovc_care_health SET facility_id=1127 WHERE facility_id=18619;
2110,16339,2,UPDATE ovc_care_health SET facility_id=2110 WHERE facility_id=16339;
4928,10515,3,UPDATE ovc_care_health SET facility_id=4928 WHERE facility_id=10515;
4928,19476,3,UPDATE ovc_care_health SET facility_id=4928 WHERE facility_id=19476;
2019,11706,3,UPDATE ovc_care_health SET facility_id=2019 WHERE facility_id=11706;
2019,21205,3,UPDATE ovc_care_health SET facility_id=2019 WHERE facility_id=21205;
333,15293,2,UPDATE ovc_care_health SET facility_id=333 WHERE facility_id=15293;
1417,17466,2,UPDATE ovc_care_health SET facility_id=1417 WHERE facility_id=17466;
4996,22303,2,UPDATE ovc_care_health SET facility_id=4996 WHERE facility_id=22303;
1562,18963,2,UPDATE ovc_care_health SET facility_id=1562 WHERE facility_id=18963;
5151,10354,3,UPDATE ovc_care_health SET facility_id=5151 WHERE facility_id=10354;
5151,23585,3,UPDATE ovc_care_health SET facility_id=5151 WHERE facility_id=23585;
2377,22702,2,UPDATE ovc_care_health SET facility_id=2377 WHERE facility_id=22702;
5156,23882,2,UPDATE ovc_care_health SET facility_id=5156 WHERE facility_id=23882;
7711,16540,2,UPDATE ovc_care_health SET facility_id=7711 WHERE facility_id=16540;
1961,12316,3,UPDATE ovc_care_health SET facility_id=1961 WHERE facility_id=12316;
1961,21640,3,UPDATE ovc_care_health SET facility_id=1961 WHERE facility_id=21640;
2810,23443,2,UPDATE ovc_care_health SET facility_id=2810 WHERE facility_id=23443;
6511,16101,2,UPDATE ovc_care_health SET facility_id=6511 WHERE facility_id=16101;
8405,16516,2,UPDATE ovc_care_health SET facility_id=8405 WHERE facility_id=16516;
3306,9778,3,UPDATE ovc_care_health SET facility_id=3306 WHERE facility_id=9778;
3306,18611,3,UPDATE ovc_care_health SET facility_id=3306 WHERE facility_id=18611;
6975,21970,2,UPDATE ovc_care_health SET facility_id=6975 WHERE facility_id=21970;
8100,16090,2,UPDATE ovc_care_health SET facility_id=8100 WHERE facility_id=16090;
9404,17587,2,UPDATE ovc_care_health SET facility_id=9404 WHERE facility_id=17587;
7576,23643,2,UPDATE ovc_care_health SET facility_id=7576 WHERE facility_id=23643;
8472,11677,3,UPDATE ovc_care_health SET facility_id=8472 WHERE facility_id=11677;
8472,21171,3,UPDATE ovc_care_health SET facility_id=8472 WHERE facility_id=21171;
218,17482,2,UPDATE ovc_care_health SET facility_id=218 WHERE facility_id=17482;
13127,22788,2,UPDATE ovc_care_health SET facility_id=13127 WHERE facility_id=22788;
3970,17166,2,UPDATE ovc_care_health SET facility_id=3970 WHERE facility_id=17166;
3173,19887,2,UPDATE ovc_care_health SET facility_id=3173 WHERE facility_id=19887;
3356,12185,3,UPDATE ovc_care_health SET facility_id=3356 WHERE facility_id=12185;
3356,22123,3,UPDATE ovc_care_health SET facility_id=3356 WHERE facility_id=22123;
5654,23156,2,UPDATE ovc_care_health SET facility_id=5654 WHERE facility_id=23156;
8514,11880,3,UPDATE ovc_care_health SET facility_id=8514 WHERE facility_id=11880;
8514,21893,3,UPDATE ovc_care_health SET facility_id=8514 WHERE facility_id=21893;
4507,10270,3,UPDATE ovc_care_health SET facility_id=4507 WHERE facility_id=10270;
4507,23108,3,UPDATE ovc_care_health SET facility_id=4507 WHERE facility_id=23108;
1290,20932,2,UPDATE ovc_care_health SET facility_id=1290 WHERE facility_id=20932;
7910,10674,3,UPDATE ovc_care_health SET facility_id=7910 WHERE facility_id=10674;
7910,19742,3,UPDATE ovc_care_health SET facility_id=7910 WHERE facility_id=19742;
2626,10465,3,UPDATE ovc_care_health SET facility_id=2626 WHERE facility_id=10465;
2626,19243,3,UPDATE ovc_care_health SET facility_id=2626 WHERE facility_id=19243;
6201,13625,3,UPDATE ovc_care_health SET facility_id=6201 WHERE facility_id=13625;
6201,19084,3,UPDATE ovc_care_health SET facility_id=6201 WHERE facility_id=19084;
7237,20256,2,UPDATE ovc_care_health SET facility_id=7237 WHERE facility_id=20256;
4027,9660,3,UPDATE ovc_care_health SET facility_id=4027 WHERE facility_id=9660;
4027,18466,3,UPDATE ovc_care_health SET facility_id=4027 WHERE facility_id=18466;
2844,23313,2,UPDATE ovc_care_health SET facility_id=2844 WHERE facility_id=23313;
8039,16469,2,UPDATE ovc_care_health SET facility_id=8039 WHERE facility_id=16469;
7663,20161,2,UPDATE ovc_care_health SET facility_id=7663 WHERE facility_id=20161;
4458,9219,3,UPDATE ovc_care_health SET facility_id=4458 WHERE facility_id=9219;
4458,16961,3,UPDATE ovc_care_health SET facility_id=4458 WHERE facility_id=16961;
8976,22465,2,UPDATE ovc_care_health SET facility_id=8976 WHERE facility_id=22465;
8862,10759,3,UPDATE ovc_care_health SET facility_id=8862 WHERE facility_id=10759;
8862,19999,3,UPDATE ovc_care_health SET facility_id=8862 WHERE facility_id=19999;
7833,18206,2,UPDATE ovc_care_health SET facility_id=7833 WHERE facility_id=18206;
4425,10027,3,UPDATE ovc_care_health SET facility_id=4425 WHERE facility_id=10027;
4425,19335,3,UPDATE ovc_care_health SET facility_id=4425 WHERE facility_id=19335;
5633,20242,2,UPDATE ovc_care_health SET facility_id=5633 WHERE facility_id=20242;
523,15277,2,UPDATE ovc_care_health SET facility_id=523 WHERE facility_id=15277;
4935,10642,3,UPDATE ovc_care_health SET facility_id=4935 WHERE facility_id=10642;
4935,19705,3,UPDATE ovc_care_health SET facility_id=4935 WHERE facility_id=19705;
3008,15037,2,UPDATE ovc_care_health SET facility_id=3008 WHERE facility_id=15037;
87,21622,2,UPDATE ovc_care_health SET facility_id=87 WHERE facility_id=21622;
4840,24026,2,UPDATE ovc_care_health SET facility_id=4840 WHERE facility_id=24026;
377,16378,2,UPDATE ovc_care_health SET facility_id=377 WHERE facility_id=16378;
7820,18189,2,UPDATE ovc_care_health SET facility_id=7820 WHERE facility_id=18189;
4716,17219,2,UPDATE ovc_care_health SET facility_id=4716 WHERE facility_id=17219;
11710,21209,2,UPDATE ovc_care_health SET facility_id=11710 WHERE facility_id=21209;
1519,11009,3,UPDATE ovc_care_health SET facility_id=1519 WHERE facility_id=11009;
1519,20469,3,UPDATE ovc_care_health SET facility_id=1519 WHERE facility_id=20469;
4937,19785,2,UPDATE ovc_care_health SET facility_id=4937 WHERE facility_id=19785;
13565,19025,2,UPDATE ovc_care_health SET facility_id=13565 WHERE facility_id=19025;
2330,12703,3,UPDATE ovc_care_health SET facility_id=2330 WHERE facility_id=12703;
2330,22491,3,UPDATE ovc_care_health SET facility_id=2330 WHERE facility_id=22491;
2949,10789,3,UPDATE ovc_care_health SET facility_id=2949 WHERE facility_id=10789;
2949,20136,3,UPDATE ovc_care_health SET facility_id=2949 WHERE facility_id=20136;
5220,24090,2,UPDATE ovc_care_health SET facility_id=5220 WHERE facility_id=24090;
4003,17730,2,UPDATE ovc_care_health SET facility_id=4003 WHERE facility_id=17730;
2090,16016,2,UPDATE ovc_care_health SET facility_id=2090 WHERE facility_id=16016;
8502,12952,3,UPDATE ovc_care_health SET facility_id=8502 WHERE facility_id=12952;
8502,22292,3,UPDATE ovc_care_health SET facility_id=8502 WHERE facility_id=22292;
7038,18350,2,UPDATE ovc_care_health SET facility_id=7038 WHERE facility_id=18350;
763,9210,3,UPDATE ovc_care_health SET facility_id=763 WHERE facility_id=9210;
763,16948,3,UPDATE ovc_care_health SET facility_id=763 WHERE facility_id=16948;
856,19914,2,UPDATE ovc_care_health SET facility_id=856 WHERE facility_id=19914;
4409,11403,3,UPDATE ovc_care_health SET facility_id=4409 WHERE facility_id=11403;
4409,20926,3,UPDATE ovc_care_health SET facility_id=4409 WHERE facility_id=20926;
4212,15792,2,UPDATE ovc_care_health SET facility_id=4212 WHERE facility_id=15792;
976,23735,2,UPDATE ovc_care_health SET facility_id=976 WHERE facility_id=23735;
9395,17579,2,UPDATE ovc_care_health SET facility_id=9395 WHERE facility_id=17579;
7674,20673,2,UPDATE ovc_care_health SET facility_id=7674 WHERE facility_id=20673;
3252,9252,3,UPDATE ovc_care_health SET facility_id=3252 WHERE facility_id=9252;
3252,17193,3,UPDATE ovc_care_health SET facility_id=3252 WHERE facility_id=17193;
602,13085,3,UPDATE ovc_care_health SET facility_id=602 WHERE facility_id=13085;
602,22496,3,UPDATE ovc_care_health SET facility_id=602 WHERE facility_id=22496;
191,15592,2,UPDATE ovc_care_health SET facility_id=191 WHERE facility_id=15592;
3155,11088,3,UPDATE ovc_care_health SET facility_id=3155 WHERE facility_id=11088;
3155,20558,3,UPDATE ovc_care_health SET facility_id=3155 WHERE facility_id=20558;
4566,10355,3,UPDATE ovc_care_health SET facility_id=4566 WHERE facility_id=10355;
4566,23597,3,UPDATE ovc_care_health SET facility_id=4566 WHERE facility_id=23597;
4383,11167,3,UPDATE ovc_care_health SET facility_id=4383 WHERE facility_id=11167;
4383,20641,3,UPDATE ovc_care_health SET facility_id=4383 WHERE facility_id=20641;
7986,11606,3,UPDATE ovc_care_health SET facility_id=7986 WHERE facility_id=11606;
7986,21094,3,UPDATE ovc_care_health SET facility_id=7986 WHERE facility_id=21094;
7381,20097,2,UPDATE ovc_care_health SET facility_id=7381 WHERE facility_id=20097;
7946,20035,2,UPDATE ovc_care_health SET facility_id=7946 WHERE facility_id=20035;
6858,17801,2,UPDATE ovc_care_health SET facility_id=6858 WHERE facility_id=17801;
3984,17515,2,UPDATE ovc_care_health SET facility_id=3984 WHERE facility_id=17515;
1896,13157,3,UPDATE ovc_care_health SET facility_id=1896 WHERE facility_id=13157;
1896,22554,3,UPDATE ovc_care_health SET facility_id=1896 WHERE facility_id=22554;
638,18370,2,UPDATE ovc_care_health SET facility_id=638 WHERE facility_id=18370;
8685,12061,3,UPDATE ovc_care_health SET facility_id=8685 WHERE facility_id=12061;
8685,22031,3,UPDATE ovc_care_health SET facility_id=8685 WHERE facility_id=22031;
7069,21214,2,UPDATE ovc_care_health SET facility_id=7069 WHERE facility_id=21214;
126,13342,3,UPDATE ovc_care_health SET facility_id=126 WHERE facility_id=13342;
126,22814,3,UPDATE ovc_care_health SET facility_id=126 WHERE facility_id=22814;
8946,16221,2,UPDATE ovc_care_health SET facility_id=8946 WHERE facility_id=16221;
5185,10748,3,UPDATE ovc_care_health SET facility_id=5185 WHERE facility_id=10748;
5185,19987,3,UPDATE ovc_care_health SET facility_id=5185 WHERE facility_id=19987;
10499,20182,2,UPDATE ovc_care_health SET facility_id=10499 WHERE facility_id=20182;
6618,10511,3,UPDATE ovc_care_health SET facility_id=6618 WHERE facility_id=10511;
6618,20198,3,UPDATE ovc_care_health SET facility_id=6618 WHERE facility_id=20198;
8231,14892,2,UPDATE ovc_care_health SET facility_id=8231 WHERE facility_id=14892;
3152,11166,3,UPDATE ovc_care_health SET facility_id=3152 WHERE facility_id=11166;
3152,20640,3,UPDATE ovc_care_health SET facility_id=3152 WHERE facility_id=20640;
7496,18322,2,UPDATE ovc_care_health SET facility_id=7496 WHERE facility_id=18322;
7306,16656,2,UPDATE ovc_care_health SET facility_id=7306 WHERE facility_id=16656;
8567,9227,3,UPDATE ovc_care_health SET facility_id=8567 WHERE facility_id=9227;
8567,16967,3,UPDATE ovc_care_health SET facility_id=8567 WHERE facility_id=16967;
2545,9909,3,UPDATE ovc_care_health SET facility_id=2545 WHERE facility_id=9909;
2545,18836,3,UPDATE ovc_care_health SET facility_id=2545 WHERE facility_id=18836;
7155,15552,2,UPDATE ovc_care_health SET facility_id=7155 WHERE facility_id=15552;
580,10422,3,UPDATE ovc_care_health SET facility_id=580 WHERE facility_id=10422;
580,19027,3,UPDATE ovc_care_health SET facility_id=580 WHERE facility_id=19027;
4350,10624,3,UPDATE ovc_care_health SET facility_id=4350 WHERE facility_id=10624;
4350,19682,3,UPDATE ovc_care_health SET facility_id=4350 WHERE facility_id=19682;
4270,17337,2,UPDATE ovc_care_health SET facility_id=4270 WHERE facility_id=17337;
7667,20339,2,UPDATE ovc_care_health SET facility_id=7667 WHERE facility_id=20339;
465,11637,3,UPDATE ovc_care_health SET facility_id=465 WHERE facility_id=11637;
465,21132,3,UPDATE ovc_care_health SET facility_id=465 WHERE facility_id=21132;
5444,11288,3,UPDATE ovc_care_health SET facility_id=5444 WHERE facility_id=11288;
5444,20788,3,UPDATE ovc_care_health SET facility_id=5444 WHERE facility_id=20788;
11799,21843,2,UPDATE ovc_care_health SET facility_id=11799 WHERE facility_id=21843;
5258,15719,2,UPDATE ovc_care_health SET facility_id=5258 WHERE facility_id=15719;
8577,17724,2,UPDATE ovc_care_health SET facility_id=8577 WHERE facility_id=17724;
13057,22735,2,UPDATE ovc_care_health SET facility_id=13057 WHERE facility_id=22735;
7045,9911,3,UPDATE ovc_care_health SET facility_id=7045 WHERE facility_id=9911;
7045,18834,3,UPDATE ovc_care_health SET facility_id=7045 WHERE facility_id=18834;
3643,3751,3,UPDATE ovc_care_health SET facility_id=3643 WHERE facility_id=3751;
3643,9369,3,UPDATE ovc_care_health SET facility_id=3643 WHERE facility_id=9369;
4300,17951,2,UPDATE ovc_care_health SET facility_id=4300 WHERE facility_id=17951;
2629,24064,2,UPDATE ovc_care_health SET facility_id=2629 WHERE facility_id=24064;
6881,9753,3,UPDATE ovc_care_health SET facility_id=6881 WHERE facility_id=9753;
6881,18582,3,UPDATE ovc_care_health SET facility_id=6881 WHERE facility_id=18582;
3466,19784,2,UPDATE ovc_care_health SET facility_id=3466 WHERE facility_id=19784;
6051,17374,2,UPDATE ovc_care_health SET facility_id=6051 WHERE facility_id=17374;
8767,13387,3,UPDATE ovc_care_health SET facility_id=8767 WHERE facility_id=13387;
8767,22868,3,UPDATE ovc_care_health SET facility_id=8767 WHERE facility_id=22868;
8256,15077,2,UPDATE ovc_care_health SET facility_id=8256 WHERE facility_id=15077;
166,12421,3,UPDATE ovc_care_health SET facility_id=166 WHERE facility_id=12421;
166,21718,3,UPDATE ovc_care_health SET facility_id=166 WHERE facility_id=21718;
6200,13634,3,UPDATE ovc_care_health SET facility_id=6200 WHERE facility_id=13634;
6200,19093,3,UPDATE ovc_care_health SET facility_id=6200 WHERE facility_id=19093;
4822,13765,3,UPDATE ovc_care_health SET facility_id=4822 WHERE facility_id=13765;
4822,18939,3,UPDATE ovc_care_health SET facility_id=4822 WHERE facility_id=18939;
1188,11336,3,UPDATE ovc_care_health SET facility_id=1188 WHERE facility_id=11336;
1188,20836,3,UPDATE ovc_care_health SET facility_id=1188 WHERE facility_id=20836;
1329,15285,2,UPDATE ovc_care_health SET facility_id=1329 WHERE facility_id=15285;
591,22918,2,UPDATE ovc_care_health SET facility_id=591 WHERE facility_id=22918;
394,18881,2,UPDATE ovc_care_health SET facility_id=394 WHERE facility_id=18881;
3427,10778,3,UPDATE ovc_care_health SET facility_id=3427 WHERE facility_id=10778;
3427,20124,3,UPDATE ovc_care_health SET facility_id=3427 WHERE facility_id=20124;
5750,15598,2,UPDATE ovc_care_health SET facility_id=5750 WHERE facility_id=15598;
7411,14900,2,UPDATE ovc_care_health SET facility_id=7411 WHERE facility_id=14900;
2914,19646,2,UPDATE ovc_care_health SET facility_id=2914 WHERE facility_id=19646;
5635,10845,3,UPDATE ovc_care_health SET facility_id=5635 WHERE facility_id=10845;
5635,20226,3,UPDATE ovc_care_health SET facility_id=5635 WHERE facility_id=20226;
1443,17764,2,UPDATE ovc_care_health SET facility_id=1443 WHERE facility_id=17764;
1668,17963,2,UPDATE ovc_care_health SET facility_id=1668 WHERE facility_id=17963;
1272,15947,2,UPDATE ovc_care_health SET facility_id=1272 WHERE facility_id=15947;
4793,18389,2,UPDATE ovc_care_health SET facility_id=4793 WHERE facility_id=18389;
7954,14997,2,UPDATE ovc_care_health SET facility_id=7954 WHERE facility_id=14997;
12742,22518,2,UPDATE ovc_care_health SET facility_id=12742 WHERE facility_id=22518;
5338,18190,2,UPDATE ovc_care_health SET facility_id=5338 WHERE facility_id=18190;
608,12230,3,UPDATE ovc_care_health SET facility_id=608 WHERE facility_id=12230;
608,21579,3,UPDATE ovc_care_health SET facility_id=608 WHERE facility_id=21579;
175,22536,2,UPDATE ovc_care_health SET facility_id=175 WHERE facility_id=22536;
2162,17428,2,UPDATE ovc_care_health SET facility_id=2162 WHERE facility_id=17428;
2477,17094,2,UPDATE ovc_care_health SET facility_id=2477 WHERE facility_id=17094;
2891,11196,3,UPDATE ovc_care_health SET facility_id=2891 WHERE facility_id=11196;
2891,20674,3,UPDATE ovc_care_health SET facility_id=2891 WHERE facility_id=20674;
576,22914,2,UPDATE ovc_care_health SET facility_id=576 WHERE facility_id=22914;
6016,16917,2,UPDATE ovc_care_health SET facility_id=6016 WHERE facility_id=16917;
6657,21223,2,UPDATE ovc_care_health SET facility_id=6657 WHERE facility_id=21223;
6391,24051,2,UPDATE ovc_care_health SET facility_id=6391 WHERE facility_id=24051;
3512,15218,2,UPDATE ovc_care_health SET facility_id=3512 WHERE facility_id=15218;
3127,10984,3,UPDATE ovc_care_health SET facility_id=3127 WHERE facility_id=10984;
3127,20444,3,UPDATE ovc_care_health SET facility_id=3127 WHERE facility_id=20444;
1841,14769,2,UPDATE ovc_care_health SET facility_id=1841 WHERE facility_id=14769;
4469,9577,3,UPDATE ovc_care_health SET facility_id=4469 WHERE facility_id=9577;
4469,18092,3,UPDATE ovc_care_health SET facility_id=4469 WHERE facility_id=18092;
7908,10313,3,UPDATE ovc_care_health SET facility_id=7908 WHERE facility_id=10313;
7908,23071,3,UPDATE ovc_care_health SET facility_id=7908 WHERE facility_id=23071;
4058,10081,3,UPDATE ovc_care_health SET facility_id=4058 WHERE facility_id=10081;
4058,23689,3,UPDATE ovc_care_health SET facility_id=4058 WHERE facility_id=23689;
7477,17495,2,UPDATE ovc_care_health SET facility_id=7477 WHERE facility_id=17495;
1149,10855,3,UPDATE ovc_care_health SET facility_id=1149 WHERE facility_id=10855;
1149,20235,3,UPDATE ovc_care_health SET facility_id=1149 WHERE facility_id=20235;
1825,19413,2,UPDATE ovc_care_health SET facility_id=1825 WHERE facility_id=19413;
7144,22793,2,UPDATE ovc_care_health SET facility_id=7144 WHERE facility_id=22793;
8652,12601,3,UPDATE ovc_care_health SET facility_id=8652 WHERE facility_id=12601;
8652,21827,3,UPDATE ovc_care_health SET facility_id=8652 WHERE facility_id=21827;
9104,16308,2,UPDATE ovc_care_health SET facility_id=9104 WHERE facility_id=16308;
546,16361,2,UPDATE ovc_care_health SET facility_id=546 WHERE facility_id=16361;
8315,9751,3,UPDATE ovc_care_health SET facility_id=8315 WHERE facility_id=9751;
8315,18579,3,UPDATE ovc_care_health SET facility_id=8315 WHERE facility_id=18579;
8782,15424,2,UPDATE ovc_care_health SET facility_id=8782 WHERE facility_id=15424;
5008,22596,2,UPDATE ovc_care_health SET facility_id=5008 WHERE facility_id=22596;
7608,23290,2,UPDATE ovc_care_health SET facility_id=7608 WHERE facility_id=23290;
5443,11286,3,UPDATE ovc_care_health SET facility_id=5443 WHERE facility_id=11286;
5443,20786,3,UPDATE ovc_care_health SET facility_id=5443 WHERE facility_id=20786;
6351,24050,2,UPDATE ovc_care_health SET facility_id=6351 WHERE facility_id=24050;
3494,10281,3,UPDATE ovc_care_health SET facility_id=3494 WHERE facility_id=10281;
3494,23098,3,UPDATE ovc_care_health SET facility_id=3494 WHERE facility_id=23098;
9575,18091,2,UPDATE ovc_care_health SET facility_id=9575 WHERE facility_id=18091;
3582,11015,3,UPDATE ovc_care_health SET facility_id=3582 WHERE facility_id=11015;
3582,20475,3,UPDATE ovc_care_health SET facility_id=3582 WHERE facility_id=20475;
6774,11649,3,UPDATE ovc_care_health SET facility_id=6774 WHERE facility_id=11649;
6774,21143,3,UPDATE ovc_care_health SET facility_id=6774 WHERE facility_id=21143;
6717,21077,2,UPDATE ovc_care_health SET facility_id=6717 WHERE facility_id=21077;
3676,3796,4,UPDATE ovc_care_health SET facility_id=3676 WHERE facility_id=3796;
3676,11640,4,UPDATE ovc_care_health SET facility_id=3676 WHERE facility_id=11640;
3676,21136,4,UPDATE ovc_care_health SET facility_id=3676 WHERE facility_id=21136;
3726,3772,4,UPDATE ovc_care_health SET facility_id=3726 WHERE facility_id=3772;
3726,12020,4,UPDATE ovc_care_health SET facility_id=3726 WHERE facility_id=12020;
3726,21428,4,UPDATE ovc_care_health SET facility_id=3726 WHERE facility_id=21428;
5731,15178,2,UPDATE ovc_care_health SET facility_id=5731 WHERE facility_id=15178;
8284,16689,2,UPDATE ovc_care_health SET facility_id=8284 WHERE facility_id=16689;
7817,17817,2,UPDATE ovc_care_health SET facility_id=7817 WHERE facility_id=17817;
1649,17271,2,UPDATE ovc_care_health SET facility_id=1649 WHERE facility_id=17271;
8842,19871,2,UPDATE ovc_care_health SET facility_id=8842 WHERE facility_id=19871;
5672,11748,3,UPDATE ovc_care_health SET facility_id=5672 WHERE facility_id=11748;
5672,21260,3,UPDATE ovc_care_health SET facility_id=5672 WHERE facility_id=21260;
1647,9296,3,UPDATE ovc_care_health SET facility_id=1647 WHERE facility_id=9296;
1647,17241,3,UPDATE ovc_care_health SET facility_id=1647 WHERE facility_id=17241;
6996,13369,3,UPDATE ovc_care_health SET facility_id=6996 WHERE facility_id=13369;
6996,22849,3,UPDATE ovc_care_health SET facility_id=6996 WHERE facility_id=22849;
4307,9603,3,UPDATE ovc_care_health SET facility_id=4307 WHERE facility_id=9603;
4307,18253,3,UPDATE ovc_care_health SET facility_id=4307 WHERE facility_id=18253;
8098,15295,2,UPDATE ovc_care_health SET facility_id=8098 WHERE facility_id=15295;
529,15753,2,UPDATE ovc_care_health SET facility_id=529 WHERE facility_id=15753;
8173,20280,2,UPDATE ovc_care_health SET facility_id=8173 WHERE facility_id=20280;
4972,11173,3,UPDATE ovc_care_health SET facility_id=4972 WHERE facility_id=11173;
4972,20647,3,UPDATE ovc_care_health SET facility_id=4972 WHERE facility_id=20647;
9916,19258,2,UPDATE ovc_care_health SET facility_id=9916 WHERE facility_id=19258;
8736,11722,3,UPDATE ovc_care_health SET facility_id=8736 WHERE facility_id=11722;
8736,21228,3,UPDATE ovc_care_health SET facility_id=8736 WHERE facility_id=21228;
9646,18452,2,UPDATE ovc_care_health SET facility_id=9646 WHERE facility_id=18452;
8947,16222,2,UPDATE ovc_care_health SET facility_id=8947 WHERE facility_id=16222;
6915,11418,3,UPDATE ovc_care_health SET facility_id=6915 WHERE facility_id=11418;
6915,20941,3,UPDATE ovc_care_health SET facility_id=6915 WHERE facility_id=20941;
6994,13325,3,UPDATE ovc_care_health SET facility_id=6994 WHERE facility_id=13325;
6994,22777,3,UPDATE ovc_care_health SET facility_id=6994 WHERE facility_id=22777;
6482,15324,2,UPDATE ovc_care_health SET facility_id=6482 WHERE facility_id=15324;
3464,10675,3,UPDATE ovc_care_health SET facility_id=3464 WHERE facility_id=10675;
3464,19801,3,UPDATE ovc_care_health SET facility_id=3464 WHERE facility_id=19801;
5121,13552,3,UPDATE ovc_care_health SET facility_id=5121 WHERE facility_id=13552;
5121,18990,3,UPDATE ovc_care_health SET facility_id=5121 WHERE facility_id=18990;
4391,10143,3,UPDATE ovc_care_health SET facility_id=4391 WHERE facility_id=10143;
4391,23389,3,UPDATE ovc_care_health SET facility_id=4391 WHERE facility_id=23389;
1768,13435,3,UPDATE ovc_care_health SET facility_id=1768 WHERE facility_id=13435;
1768,22936,3,UPDATE ovc_care_health SET facility_id=1768 WHERE facility_id=22936;
7466,16711,2,UPDATE ovc_care_health SET facility_id=7466 WHERE facility_id=16711;
4983,10295,3,UPDATE ovc_care_health SET facility_id=4983 WHERE facility_id=10295;
4983,23082,3,UPDATE ovc_care_health SET facility_id=4983 WHERE facility_id=23082;
5441,13650,3,UPDATE ovc_care_health SET facility_id=5441 WHERE facility_id=13650;
5441,19114,3,UPDATE ovc_care_health SET facility_id=5441 WHERE facility_id=19114;
965,19946,2,UPDATE ovc_care_health SET facility_id=965 WHERE facility_id=19946;
7783,15199,2,UPDATE ovc_care_health SET facility_id=7783 WHERE facility_id=15199;
4764,17421,2,UPDATE ovc_care_health SET facility_id=4764 WHERE facility_id=17421;
1853,15839,2,UPDATE ovc_care_health SET facility_id=1853 WHERE facility_id=15839;
8936,12245,3,UPDATE ovc_care_health SET facility_id=8936 WHERE facility_id=12245;
8936,21586,3,UPDATE ovc_care_health SET facility_id=8936 WHERE facility_id=21586;
8875,17092,2,UPDATE ovc_care_health SET facility_id=8875 WHERE facility_id=17092;
