household_head_id,hh_id_to_retain,hh_id_to_move,tree_depth
3209313,032f0704-11f4-4ec7-a654-a8ecc2610082,2e9b05a1-a3ed-4c6b-98ac-6411d7967291,2
3348648,81856dd1-2d98-4b5e-bd89-e3c69ffc68ac,c19e3b73-25b2-4ee8-b29f-b9e3307c7152,2
3042941,36e708fb-af03-401d-a710-8304cc00a561,127dc582-f477-4da0-abf9-8503ef59c798,2
3034612,ad993d98-0113-4202-9fd0-a8ef7f8c518e,9c150438-66fd-4921-9840-e55cfeb25f05,3
3034612,ad993d98-0113-4202-9fd0-a8ef7f8c518e,c8a64279-4917-47e9-a176-87100b0b8147,3
3396296,56a12e2d-5840-4bec-bd30-f7d5b0166c5e,f2fcf520-b272-434e-9f8d-7c9d22e48c20,2
3350081,7068dd84-1637-41d0-984c-d63fd089229a,7d753bfb-b4e0-45e5-a6a6-245eeeb4210c,2
3369103,f0269e67-df61-4e1d-8271-cf465ba3270c,96ffcda1-c511-4863-9c6a-dca40ce732a7,2
598198,3333af3a-0d44-461e-a0c6-17bb1e73b7c3,47e0c77f-ea83-4e89-8d0d-7f25e00468fb,2
598199,50a081ba-ccc5-4c81-b657-774ce1f385a7,aa2c0ba2-cd33-4498-9fce-e4d3a07b935b,2
598192,3b8a6e13-833e-4739-813c-5cc093d0bbe8,7bda1e60-5de6-497a-8159-4bfc0d2983ff,2
598193,5f9da7e4-dc92-4e96-ae88-0447c4f1cede,bac54d97-b824-417b-881f-2c39c11aea26,2
598190,85449926-7aac-4a9c-b70c-1c9f823bca32,46b5cf09-d8e2-4230-92a9-4df7d03bc2de,2
598191,a8f60317-d358-4eb4-beae-311e99be91f4,ade833ae-c8fe-469d-8f30-1402b3a8bdc1,2
598196,a96f845e-a8e1-4fd8-b02a-1a0efc163da8,8a0b4374-47b4-47be-9d27-d4fd7a611a32,2
598197,5e530f31-d562-4972-b7e1-ebba5810376f,c447827e-8764-46e5-acb6-b089d441e84f,2
598194,4d6147d8-26a8-4d44-ad76-540d9f00ad36,f3bc4b54-44d5-42e4-bdd9-35cd3dbb5b49,2
598195,f89e1216-bcef-4850-9d7b-33485fa54cdf,18f5dca9-20b8-426b-8331-6f959da77309,2
3360694,52789a88-c004-4339-91fb-a57975ea84a4,f18b4138-6897-47f4-a3c1-131a173db019,2
2010956,8febbb7c-14be-42e1-82ce-4943e72cf44b,6df62e29-d481-4149-ad50-8ccfc5884b3c,2
3380316,18182bd7-76d1-4f47-90e9-fe4babc08112,b93047c9-d41c-4e4c-bf97-d2528f466623,4
3380316,18182bd7-76d1-4f47-90e9-fe4babc08112,302b02ec-5c37-4931-98bb-fff9e43871b9,4
3380316,18182bd7-76d1-4f47-90e9-fe4babc08112,d155491a-455e-4629-a7ec-1b6a76a86133,4
3380313,ff8a8875-87c9-4609-aa35-d793139ff603,2801d08c-c038-4e30-93dc-ba222105bdbb,3
3380313,ff8a8875-87c9-4609-aa35-d793139ff603,1bcd95a4-df69-47d0-9ee4-a4555119753b,3
3404129,bd5609ff-82b3-4347-85bc-9e18bafd868c,5c537b8b-72eb-40cb-9725-2b118c4a1ce8,3
3404129,bd5609ff-82b3-4347-85bc-9e18bafd868c,2649984c-2265-468b-b83b-bfa78903b3e9,3
3404127,29eb641d-e5a2-4764-aecf-b2fc21c4ae0f,2a57761d-ae06-4c10-9584-f0e254f00ce0,4
3404127,29eb641d-e5a2-4764-aecf-b2fc21c4ae0f,c990829e-466e-4570-8e63-6d94d543e7e7,4
3404127,29eb641d-e5a2-4764-aecf-b2fc21c4ae0f,85167a86-7d4b-42b4-aac3-7df989bb026d,4
3398819,63a8b8da-49df-4b99-a6b5-fc1fd5caecb2,fdd5462b-33cc-4d57-85b3-763e7bef5172,4
3398819,63a8b8da-49df-4b99-a6b5-fc1fd5caecb2,ecfe6de4-e643-4b0d-acce-fd2cda22b15d,4
3398819,63a8b8da-49df-4b99-a6b5-fc1fd5caecb2,c763099e-c616-4efc-9561-304274fccd40,4
3343190,3bf4524d-91df-4fb3-98e8-f6f0886370b6,e441e692-f809-4455-a0e5-ac472b750437,2
1764101,62c775d6-65d7-45fd-8f6b-b78222a9ab7c,3b80a637-43eb-481a-94a4-470b79965a99,2
1761681,c033b70b-de2d-4158-b915-03a9f6f3330b,733ac350-93c8-40a3-8098-a14fc0143e8e,3
1761681,c033b70b-de2d-4158-b915-03a9f6f3330b,4fbd2d93-ecdc-44bf-89c9-60ff679680ac,3
1944784,2ccaf485-4c02-42e5-b55a-ca01c9b79ea2,f0ee3f07-bc6e-427e-9dac-e4ad03c60f28,3
1944784,2ccaf485-4c02-42e5-b55a-ca01c9b79ea2,17ab1274-46cc-4e3c-a624-c19bce28be63,3
3162002,08839dfa-67bd-4e17-b1a5-59cf05a9101f,addd7179-b434-492d-83d4-3163c657f4f9,2
2305993,327d004b-824b-4b91-8fac-d377f72f4f7f,5e395601-ae74-4f95-9e28-def645c8a870,3
2305993,327d004b-824b-4b91-8fac-d377f72f4f7f,a37c8298-b33a-4b6c-934a-6c186a67298c,3
2318695,d3a89d72-84a4-4117-a9d3-8971dd0d242a,42ba8fe2-23f8-46a1-8ba4-bf505af775bc,2
3220384,3bafbc79-5ae2-4a69-8d8e-c2920875c468,c560388a-84a2-4a7a-b607-00e06dca4c75,2
2243230,7ebaf2a2-0af0-4fcc-9ddb-e67c4533bdec,c51b50ab-c7b4-4511-af29-1ac8a6d009aa,7
2243230,7ebaf2a2-0af0-4fcc-9ddb-e67c4533bdec,0a5e3c7e-b7c6-4163-a750-8fc38ef3527f,7
2243230,7ebaf2a2-0af0-4fcc-9ddb-e67c4533bdec,aacf1248-6227-447d-b583-15dfe7db30c5,7
2243230,7ebaf2a2-0af0-4fcc-9ddb-e67c4533bdec,2d788a7d-add0-403a-94fe-786f84652893,7
2243230,7ebaf2a2-0af0-4fcc-9ddb-e67c4533bdec,a1c1ba02-5ab9-4ea1-bcbe-f8c0084beaf6,7
2243230,7ebaf2a2-0af0-4fcc-9ddb-e67c4533bdec,9eb79643-c546-4645-b184-fd88ab0d45ac,7
